channelGrouping,grouping_.geoNetwork_country,grouping_.country.date,grouping_.country.totals_transactions
(Other),United States,20170418,1
Affiliates,United States,20160810,4
,,20160815,3
,,20161011,1
,,20170210,1
,,20170305,2
,,20170605,1
,,20170707,4
,,20170712,1
,,20170713,11
,,20170719,1
Direct,United States,20160801,26
,,20160802,15
,,20160804,14
,,20160805,27
,,20160806,28
,,20160807,11
,,20160808,27
,,20160809,19
,,20160810,38
,,20160811,17
,,20160812,23
,,20160813,21
,,20160814,9
,,20160815,19
,,20160816,29
,,20160817,28
,,20160818,20
,,20160819,16
,,20160820,2
,,20160821,4
,,20160822,32
,,20160823,49
,,20160824,28
,,20160825,62
,,20160826,38
,,20160827,4
,,20160828,14
,,20160829,12
,,20160830,31
,,20160831,3
,,20160901,18
,,20160902,11
,,20160903,8
,,20160904,3
,,20160905,33
,,20160906,13
,,20160907,10
,,20160908,27
,,20160909,20
,,20160910,18
,,20160911,8
,,20160912,28
,,20160913,68
,,20160914,19
,,20160915,26
,,20160916,26
,,20160918,3
,,20160919,22
,,20160920,45
,,20160921,26
,,20160922,3
,,20160923,12
,,20160925,4
,,20160926,18
,,20160927,19
,,20160928,21
,,20160929,11
,,20160930,7
,,20161002,13
,,20161003,15
,,20161004,22
,,20161005,42
,,20161006,7
,,20161007,22
,,20161008,2
,,20161009,10
,,20161010,11
,,20161011,29
,,20161012,50
,,20161013,91
,,20161014,44
,,20161015,2
,,20161016,34
,,20161017,39
,,20161018,43
,,20161019,53
,,20161020,18
,,20161021,12
,,20161022,5
,,20161023,3
,,20161024,21
,,20161025,6
,,20161026,62
,,20161027,95
,,20161028,74
,,20161029,11
,,20161030,38
,,20161031,76
,,20161101,47
,,20161102,76
,,20161103,59
,,20161104,85
,,20161105,49
,,20161106,42
,,20161107,60
,,20161108,69
,,20161109,84
,,20161110,65
,,20161111,73
,,20161112,30
,,20161113,77
,,20161114,98
,,20161115,98
,,20161116,63
,,20161117,124
,,20161118,67
,,20161119,35
,,20161120,53
,,20161121,85
,,20161122,50
,,20161123,105
,,20161124,50
,,20161125,91
,,20161126,62
,,20161127,84
,,20161128,108
,,20161129,102
,,20161130,199
,,20161201,81
,,20161202,81
,,20161203,44
,,20161204,57
,,20161205,173
,,20161206,136
,,20161207,95
,,20161208,72
,,20161209,92
,,20161210,44
,,20161211,56
,,20161212,150
,,20161213,120
,,20161214,100
,,20161215,65
,,20161216,130
,,20161217,123
,,20161218,82
,,20161219,173
,,20161220,105
,,20161221,64
,,20161222,51
,,20161223,21
,,20161224,42
,,20161225,15
,,20161226,29
,,20161227,49
,,20161228,45
,,20161229,50
,,20161230,38
,,20161231,20
,,20170101,30
,,20170102,48
,,20170103,91
,,20170104,109
,,20170105,60
,,20170106,69
,,20170107,17
,,20170108,22
,,20170109,54
,,20170110,46
,,20170111,48
,,20170112,62
,,20170113,51
,,20170114,23
,,20170115,43
,,20170116,40
,,20170117,98
,,20170118,63
,,20170119,64
,,20170120,49
,,20170121,28
,,20170122,54
,,20170123,48
,,20170124,74
,,20170125,69
,,20170126,42
,,20170127,58
,,20170128,17
,,20170129,39
,,20170130,104
,,20170131,46
,,20170201,122
,,20170202,48
